Unnamed: 0,Material,Colour,Weight,Volume,Length,Width,Height,Functionality,Button,Lip,Fillability,Washability,Dismountability,Shape,Handle,name
428,1,1,5,3,3,3,1,1,1,1,1,1,1,1,2,1
429,1,1,5,3,4,3,1,1,1,1,1,1,1,1,2,1
430,1,1,1,3,3,3,1,1,1,1,1,1,1,1,2,1
431,1,1,5,3,3,3,1,1,1,1,1,1,1,1,2,1
432,1,10,6,3,5,3,1,1,1,1,1,1,1,1,2,1
433,1,1,7,3,4,3,1,1,1,1,1,1,1,1,2,1
434,1,1,5,3,4,3,1,1,1,1,1,1,1,1,2,1
435,1,2,3,3,3,1,1,1,1,1,1,1,1,1,2,1
438,1,1,6,3,2,1,4,1,1,1,1,1,1,1,2,1
439,1,1,5,3,1,3,4,1,1,1,1,1,1,1,2,1
523,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
559,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
560,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
561,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
562,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
563,1,1,7,4,2,1,5,1,1,1,1,1,1,1,2,1
564,1,7,7,4,2,1,5,1,1,1,1,1,1,1,2,1
565,1,7,7,4,2,1,5,1,1,1,1,1,1,1,2,1
573,1,1,6,4,2,6,1,1,1,1,1,1,1,1,2,1
574,1,1,6,4,3,4,1,1,1,1,1,1,1,1,2,1
575,1,10,6,4,3,3,1,1,1,1,1,1,1,1,2,1
576,1,7,6,4,3,3,1,1,1,1,1,1,1,1,2,1
577,1,2,5,4,4,3,1,1,1,1,1,1,1,1,2,1
578,1,1,6,4,4,3,1,1,1,1,1,1,1,1,2,1
579,1,1,5,4,4,3,1,1,1,1,1,1,1,1,2,1
580,1,10,6,4,3,3,1,1,1,1,1,1,1,1,2,1
581,1,1,3,4,5,4,1,1,1,1,1,1,1,1,2,1
582,1,1,6,4,3,3,1,1,1,1,1,1,1,1,2,1
583,1,1,6,4,5,5,1,1,1,1,1,1,1,1,2,1
584,1,1,4,4,4,2,1,1,1,1,1,1,1,1,2,1
585,1,1,7,4,4,4,2,1,1,1,1,1,1,1,2,1
586,1,1,4,4,5,5,2,1,1,1,1,1,1,1,2,1
587,1,1,4,4,2,1,4,1,1,1,1,1,1,1,2,1
588,1,1,6,4,1,3,5,1,1,1,1,1,1,1,2,1
615,1,1,3,4,1,2,4,1,1,1,1,1,1,1,2,1
619,1,1,11,4,3,2,1,1,1,1,1,1,1,1,2,1
633,1,1,8,4,4,3,1,1,1,1,1,1,1,1,2,1
634,1,2,5,4,4,3,1,1,1,1,1,1,1,1,2,1
635,1,2,15,4,4,3,1,1,1,1,1,1,1,1,2,1
636,1,1,7,4,3,3,1,1,1,1,1,1,1,1,2,1
637,1,7,5,4,3,4,1,1,1,1,1,1,1,1,2,1
638,1,2,7,4,2,3,1,1,1,1,1,1,1,1,2,1
639,1,1,4,4,3,1,3,1,1,1,1,1,1,1,2,1
640,1,2,5,4,2,1,4,1,1,1,1,1,1,1,2,1
641,1,1,5,4,2,1,4,1,1,1,1,1,1,1,2,1
643,1,1,2,4,1,1,4,1,1,1,1,1,1,1,2,1
663,1,1,6,4,1,6,1,1,1,1,1,1,1,1,2,1
664,1,1,17,4,10,4,1,1,1,1,1,1,1,1,2,1
665,1,1,7,4,1,1,1,1,1,1,1,1,1,1,2,1
666,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
667,1,7,5,4,4,3,1,1,1,1,1,1,1,1,2,1
668,1,1,7,4,4,3,1,1,1,1,1,1,1,1,2,1
669,2,6,1,4,4,2,1,1,1,1,1,1,1,1,2,1
671,1,1,6,4,1,4,4,1,1,1,1,1,1,1,2,1
672,1,1,5,4,1,4,4,1,1,1,1,1,1,1,2,1
673,1,1,7,4,2,1,4,1,1,1,1,1,1,1,2,1
677,1,1,2,4,2,2,1,1,1,1,1,1,1,1,2,1
686,1,1,5,4,4,3,1,1,1,1,1,1,1,1,2,1
717,1,1,3,4,3,3,1,1,1,1,1,1,1,1,2,1
719,1,1,8,4,4,3,1,1,1,1,1,1,1,1,2,1
